"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cnn3",1863.9907596451,-0.153252990313917,0.0964772883979056,-1.58848774523854,0.112176089997862,0.181948636128917
"Usp40",224.669271044404,-0.300407893782656,0.189270976130757,-1.58718415218148,0.112470942982818,0.182393625858188
"Zdhhc12",271.499774930309,-0.326708924329661,0.205884096012059,-1.58685848328238,0.112544699660863,0.182479967824167
"Ptprv",40.3111141398508,0.847253947391024,0.533975147831277,1.58669172307385,0.112582481855058,0.18250795992359
"Trim47",112.772225858237,-0.447897955286127,0.282340816727561,-1.58637337837808,0.112654635704074,0.182591651710593
"Zfp426",30.827862479239,-0.835526126648196,0.526880257901795,-1.58579888716181,0.112784938229521,0.182769543733209
"Rnf4",63.2038823722778,-0.630289269259942,0.397525941627455,-1.58552990700321,0.112845987452867,0.182835165463252
"Mri1",70.5004801958319,0.600619449326613,0.378875960547719,1.58526671488561,0.112905748197445,0.182898676054684
"Foxg1",40.2427564086906,-0.760954614964181,0.480061328572933,-1.58511958717077,0.112939166074691,0.182900330851348
"Gnpda2",30.2544323099972,0.816225940381599,0.514970816491301,1.58499455550291,0.112967571289172,0.182900330851348
"Rnpc3",216.196881026095,0.349375208109685,0.22042729760741,1.58499066087512,0.112968456177325,0.182900330851348
"Chmp5",1499.69967152985,0.168854766986472,0.106548209034588,1.5847733952211,0.113017829188666,0.182946968268095
"Plekhf2",83.620043493597,-0.624578457598601,0.394183940980601,-1.58448478658175,0.113083440988547,0.183019870377206
"Dhx37",146.191250049919,-0.374049563345145,0.236097458229801,-1.58430152594472,0.113125118729587,0.183054016936451
"Zfp629",136.784917593324,-0.395396501793841,0.249663796834863,-1.583715808245,0.113258405752856,0.183236362162905
"Zc3h12a",24.748884568002,-1.00428687640595,0.634413632818947,-1.58301591336163,0.113417837372078,0.183460931701153
"Ipo13",118.073873660818,-0.408719531119312,0.258237706032346,-1.58272599845708,0.113483929911235,0.183513854765228
"Ccdc88a",1170.57136306058,-0.217767440318534,0.137593114519632,-1.58269140922354,0.113491817320239,0.183513854765228
"Foxj3",143.773590476555,-0.425664654020248,0.268990828256469,-1.58245043810341,0.1135467781299,0.183555967655878
"Thtpa",253.745081964409,0.281646904158641,0.177987592338953,1.58239628087267,0.113559133222068,0.183555967655878
"Ambra1",52.6495427197499,-0.617558051863475,0.390502979139534,-1.58144261338096,0.113776870503546,0.183874502748736
"Aip",478.938036150025,0.254073683758185,0.160801266369902,1.58004777881364,0.114095925081478,0.184356630989963
"Rnmt",106.272929969444,0.471482434490717,0.298524592591078,1.57937552279506,0.114249948317405,0.184571974261408
"Manbal",192.574440052394,0.34925937834781,0.221212023030147,1.57884446588246,0.114371736542114,0.184735172787744
"Nop16",281.135786873809,0.33910947796129,0.214804558704949,1.57868845989941,0.114407533081948,0.184759442041381
"LOC100910255",1491.05857719026,-0.211773836433099,0.134166693450963,-1.57843821730988,0.114464971210872,0.184818645656327
