"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"Prdx1",9.732588,10.08821,9.509194,10.35803,10.23254,10.32156,10.11932,10.55488,10.60555,9.962774,9.937204,10.05056,9.211598,9.267343,9.783541
"Mmachc",2.128558,3.344654,5.026301,4.093888,4.125427,5.070134,5.436254,5.074086,5.353364,5.058463,5.084727,4.62422,7.411373,7.46785,7.114104
"Ccdc163",4.848034,4.552967,5.17375,3.483586,4.487008,4.204931,4.165169,4.93537,4.994962,4.650264,5.4495,5.19908,5.991107,5.156661,5.292248
"Tesk2",3.075773,2.744876,2.791736,2.580003,4.070697,3.015429,4.572279,4.0198,4.701758,3.288787,4.487195,4.521745,3.497539,3.644588,3.94368
"AC126292.3",6.367101,5.647586,5.957425,6.363548,6.290561,6.012696,4.613287,6.499138,5.830489,6.103305,5.904175,6.137244,4.604596,4.154154,4.702813
"Toe1",5.243682,3.500968,5.543139,4.125019,3.665852,5.139229,6.145522,5.288262,5.661222,6.117324,5.69444,5.90486,5.318576,3.789884,5.340423
"Mutyh",4.351005,4.486181,4.675109,3.643477,4.260236,3.611439,4.633818,5.104385,5.436874,4.537652,4.185811,4.921605,4.107859,5.009148,3.62819
"Urod",7.387873,7.143382,7.08002,8.589297,8.723111,8.67497,8.343696,8.628503,8.460461,7.94718,8.203808,8.21551,9.507911,9.449674,9.477351
"Eif2b3",6.426607,6.523277,6.400197,6.059525,7.149755,7.083306,7.582985,7.45677,6.818165,6.931785,7.169787,6.728521,4.226801,5.799505,5.578026
"Btbd19",6.708253,6.709213,6.986796,7.00802,6.42503,7.00792,7.141152,7.1395,6.775434,7.828872,7.720169,7.353831,5.535125,6.164545,6.29806
"Plk3",4.488785,5.332689,4.844647,3.481155,4.753403,4.568062,6.82556,5.913456,5.70632,5.950146,5.740416,6.423587,3.415156,4.944536,4.244939
"Rps8",12.42721,12.5159,12.2312,13.07283,12.99984,12.95353,13.2822,13.43538,13.44049,13.94562,13.87821,13.93136,12.31263,12.22799,12.6111
"SNORD46",0.8300845,2.170013,1.120985,1.990949,2.281849,2.284792,4.04061,2.098454,3.622411,1.729623,3.187731,2.03665,1.102041,1.101219,1.0767
"SNORD39",2.206281,2.993678,2.397253,2.292855,2.623962,1.01741,5.852782,5.429313,4.779387,3.848048,2.55986,2.497905,1.429718,2.869349,1.388828
"Kif2c",7.107134,7.35841,7.272431,5.736441,5.002705,5.673963,5.696688,5.507237,5.707315,6.26005,6.444204,6.482167,3.466804,4.369441,2.257139
"Rnf220",7.522974,7.637438,7.218293,7.070396,7.024765,7.216951,7.815017,7.799804,7.83789,7.904116,8.062557,7.642797,7.778815,7.883432,7.763058
"Dmap1",5.951523,6.340531,6.106958,6.256703,6.431259,6.450541,6.557999,7.012473,6.330134,6.514582,6.238931,6.635343,6.41765,6.712912,6.510733
"Slc6a9",4.580429,5.174879,4.786335,6.749492,6.583654,6.601212,7.396244,6.428065,6.413622,7.580955,7.52013,7.470109,3.679188,4.690664,2.297646
"B4galt2",7.211145,7.829943,7.576722,6.878933,6.467085,6.609733,6.21769,6.653314,7.021662,7.146748,7.702352,7.398861,5.944135,4.947174,6.697771
"Atp6v0b",8.527409,8.527518,8.521265,9.54041,9.256922,9.324632,8.433746,9.056036,8.836668,9.177246,9.081605,9.172766,8.606408,8.641575,8.480377
"Ipo13",6.953538,6.755502,6.948926,6.272728,6.664929,6.482878,6.539579,6.483166,6.830899,6.130125,5.976665,5.728688,7.614752,7.980042,7.806437
"Artn",6.509716,7.22763,6.892676,5.852228,6.012424,6.252346,5.017148,3.61302,4.692366,3.776333,3.591524,3.92183,2.036869,3.059971,1.979346
"Kdm4a",8.277413,8.204209,8.800587,8.659829,8.424459,8.595009,8.925425,8.704491,8.559416,8.777105,9.045676,8.813916,8.663354,8.504037,8.379039
"Ptprf",5.596887,5.723757,6.396578,6.606094,6.458805,6.52269,9.692,8.819785,9.247432,9.492831,9.520908,9.454628,7.101285,7.023573,7.60868
"Hyi",4.551519,4.88673,5.391373,4.819346,4.909884,5.408526,6.638116,6.651805,6.376299,6.272252,6.056416,5.989718,6.653355,7.203843,7.499507
"Med8",6.797908,6.087244,6.1034,6.335194,6.398364,6.446835,6.798253,6.815186,6.509504,6.303798,6.516052,6.796763,6.733853,5.452492,5.572899
"Elovl1",8.215079,7.842876,8.362024,8.277942,8.141335,8.089467,9.233665,9.051433,9.167359,9.404431,9.39825,9.545401,7.785861,8.099261,8.080559
"Cdc20",9.354429,9.307408,9.305207,7.395285,7.259144,7.607992,7.719005,7.645171,7.772323,8.264821,8.408748,7.854609,2.966788,4.781717,3.566238
