"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"Layn",7.89042621609564,7.88978704107294,8.04333081751056,7.93066392552149,7.91034900637526,7.972339747526,8.23341000707296,8.43986049350552,8.4060577220703,8.24477262176113,8.24200972263753,8.12169048763257,8.11533246579929,7.86840549396937,7.97815441890269
"Arhgap20",7.22585427624224,7.22585427624224,7.32704562609758,7.22585427624224,7.22585427624224,7.22585427624224,7.33481280469423,7.59278505140183,7.46633504135852,8.11429764367332,7.8525451730231,7.97091482036576,7.74476542756705,8.2577932562732,8.11210615512768
"Fdx1",8.1577470611929,8.51386556889564,8.00677726085119,8.25587125278563,8.09959567230327,8.16789541061546,9.27690011825348,8.99814082417401,8.87989225738683,8.6396974811456,8.40705128078904,8.50563392619618,9.42753613520617,9.31542833410626,9.40442751646521
"Rdx",10.6322560576996,10.5062463547449,10.6274267192255,10.2421478099017,10.1924519840115,10.1575814901215,10.6516516900527,10.896617751436,10.9560072317382,10.616200036709,10.8052017228949,10.5952836945341,11.0228274204141,11.1310377264052,10.9366256926155
"Ddx10",9.24044905872932,9.226819612884,9.02917283177633,9.56408762657778,9.42852478077513,9.36706120363434,9.6709954408061,9.80388358008463,9.77725059077929,9.31654261775228,9.49085569223594,9.37884596533979,9.26521008587163,9.28528727515222,9.00538469221277
"Kdelc2",8.82205847466496,8.82982066534877,8.97478471268098,8.89724130039691,8.60099083428114,8.89110916737411,8.91515653458895,9.03048108070034,8.94347717315875,9.37988007919534,9.21606246833482,9.1600559871589,8.71594557950132,8.5241440080518,8.57123706979606
"Atm",8.75443335922173,8.68964819610479,8.73966492688145,8.28515515135319,8.53412994392925,8.30936089239245,8.64613794080053,8.70878722469796,8.7821917216198,8.69357073083257,8.72078960128998,8.4494730006027,8.44745044380201,8.66445832284815,8.58608097095324
"Npat",8.82829644026987,9.00785084456441,9.08971499735248,8.73887787290469,8.67531742367557,8.71500404278569,8.98376203462593,8.92495859852006,8.93537348620273,8.58688535116134,8.66141000867951,8.64089136173881,8.52545704095534,8.58092928594646,8.63646763550806
"Acat1",8.79676442260348,9.03953864900299,8.71676098995701,9.23763758469705,9.21396469652362,9.28287584520288,8.84534961734938,9.09523746532512,9.1463607562638,9.14661191718741,9.06045458022255,9.19277957461725,12.384155463076,12.2367540545794,12.3995256216002
"Cul5",9.49002715154527,9.45587168758212,9.52964030405864,9.79589671021209,9.87204941617689,9.83264629118134,9.56355224487239,9.73917254078205,9.69878500053284,9.61820394807965,9.65037743435387,9.63694047359551,10.2746281335879,10.2251525099968,10.1428327495402
