"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zfp467",68.3069775961732,0.0897850883220666,0.342810278575413,0.261908973952528,0.793391620848686,0.897561571523143
"Sec22b",115.711780152782,-0.0584638316802666,0.223811256426838,-0.261219353367858,0.793923354278562,0.897946142388609
"Atp13a2",50.9857905009355,0.0949336515163782,0.363687252193396,0.261031012068292,0.794068591905225,0.897946142388609
"Gopc",107.794881307332,-0.0642632814267788,0.246218089363354,-0.261001462536503,0.794091379397665,0.897946142388609
"Rbm7",70.2868924191612,0.0653442733237988,0.250362329679839,0.260998822815558,0.794093415060166,0.897946142388609
"AABR07054362.1",43.9888879760337,-0.130728366301868,0.501307162598114,-0.260774981997754,0.794266038542832,0.898039036174524
"AABR07065406.1",26.9129956539215,-0.115247629441625,0.442583814466429,-0.260397298036228,0.794557326942028,0.898266062326488
"Nlrp3",17.1724944895994,-0.195831712186239,0.752970044363563,-0.260079021273366,0.794802819840809,0.89839033052929
"Shkbp1",75.7697543569698,-0.0885515296618542,0.340556472422074,-0.260020104836259,0.794848265435042,0.89839033052929
"Ncald",103.240561020045,0.0891155215799586,0.343205805268484,0.259656218548649,0.795128967019839,0.898605274580317
"Slc39a6",193.717033567083,-0.0457053405521645,0.176157618133501,-0.259457076205055,0.795282596492666,0.898628324409053
"Rpp14",353.083351141256,0.0450817354129905,0.173795648043847,0.259395076461389,0.79533042816175,0.898628324409053
"AABR07025074.1",22.7665729734269,0.196380524573853,0.758485785806116,0.258911278561589,0.79570369580728,0.898947744660035
"Akap1",369.035806909836,-0.0691593701881406,0.267341637287293,-0.258692850428756,0.795872236368482,0.898957832142637
"Galnt2",599.272374575907,-0.0358703265850492,0.13872440961075,-0.258572566181386,0.795965052539173,0.898957832142637
"Hnrnpf",98.6702488984654,-0.0636618160210143,0.246303407234208,-0.258469083866464,0.796044905972124,0.898957832142637
"Dnajb11",404.766756154546,-0.0470140399363987,0.18192159618241,-0.258430229961584,0.796074888629235,0.898957832142637
"Msi2",21.9918396828745,0.137265310316433,0.53229993537137,0.257872115315338,0.796505605956521,0.899341900207533
"Ilkap",357.545862684882,-0.042144423456208,0.16363036456789,-0.257558696807294,0.796747509583717,0.899512713845311
"Mmp2",856.019464469587,-0.0482184828345279,0.187384621643451,-0.257323586170676,0.796928986211345,0.899529222387068
"RGD1311805",104.611757642608,-0.0771227881380155,0.300014311624238,-0.257063697129923,0.79712960150931,0.899529222387068
"Pitrm1",214.062343400887,0.0427397838805539,0.166278431775505,0.25703744871889,0.797149864104886,0.899529222387068
"Atf6",202.86495984572,0.0524105183993022,0.203959432154794,0.256965406530086,0.797205478144659,0.899529222387068
"Plk4",79.0079456507473,-0.0749102975756909,0.291603888467148,-0.256890598988464,0.797263228029283,0.899529222387068
"Aldh5a1",161.110288724414,0.0727741059619722,0.283349249134922,0.256835358428352,0.797305873318701,0.899529222387068
"Hist3h3",10.2328170580637,-0.22760624402423,0.888459447991508,-0.256180790849563,0.797811240505209,0.89991419840175
"Prkag1",494.472722835891,-0.0445511632723561,0.173941845795101,-0.256126770810724,0.79785295114866,0.89991419840175
"Gnpnat1",71.095667396915,-0.0670963555395514,0.262053048050753,-0.256041118539314,0.797919087259097,0.89991419840175
"Eif4g2",7317.14540380933,-0.0298016703530547,0.116471120865887,-0.255871757148885,0.798049863350372,0.899959434630288
