"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rnf216",228.867591956488,0.0539379223139255,0.161473680346703,0.334035380862779,0.738352860477281,0.833207195668201
"Nln",111.489858251534,0.0876649829048576,0.263826339096212,0.332282907025777,0.739675645575665,0.834559241644812
"Ptrhd1",122.190005266215,0.0795518467055531,0.239451502194572,0.332225298135367,0.739719142453259,0.834559241644812
"Shisa5",462.158177792437,0.0490790869840123,0.14778056478662,0.332107859073874,0.739807815937078,0.834564425615574
"Dyrk2",674.630722448246,-0.0417406755363792,0.125794374290242,-0.331816710976851,0.740027664998637,0.834664745003711
"Stk16",255.390159788692,0.0575091403715612,0.173341759912034,0.331767373313536,0.740064922504298,0.834664745003711
"Snapc2",66.101447114653,-0.106645355811095,0.321701138992163,-0.331504439633622,0.740263488057871,0.834779232399594
"Ttc37",40.1703331666619,-0.135804427791808,0.409777409599586,-0.331410235436134,0.740334634577234,0.834779232399594
"Ppox",58.7106876558791,0.104982798668302,0.317021584008103,0.331153473340853,0.740528562152941,0.834903056330087
"Enthd2",44.2196810130102,-0.133742890944296,0.40503605655696,-0.330199963137078,0.741248874687782,0.835608968388291
"Ipo5",379.567145441515,0.0602539539879523,0.182619962555602,0.329941771670262,0.74144395994612,0.835608968388291
"Ppig",2295.36728285545,0.05640841006439,0.171049244345062,0.329778773828405,0.741567127013751,0.835608968388291
"Tmem55b",224.665252422712,0.0594775334542086,0.180356429113086,0.329777728172447,0.741567917170608,0.835608968388291
"Gltpd2",84.1695796725399,0.129295939165673,0.392082042799391,0.32976756150964,0.741575599690959,0.835608968388291
"Aars2",84.7624121662038,0.111155406510049,0.337831797183237,0.32902588636368,0.742136121899621,0.836078868235819
"Ndufb6",60.2067453673857,-0.122709814121986,0.372986250026531,-0.328992862641068,0.742161082815414,0.836078868235819
"Odc1",696.618931791726,-0.0445126232683118,0.135774419988894,-0.327842485145234,0.743030762476886,0.836901729212832
"Ndel1",843.060474886576,0.0526507268809958,0.160654968762643,0.327725480802176,0.743119235575148,0.836901729212832
"Pot1",60.5318731033224,-0.108396012291133,0.330786130502252,-0.327692131851324,0.74314445308099,0.836901729212832
"Crcp",106.38779337806,-0.0761455709142111,0.232961735416359,-0.326858703976087,0.743774756416197,0.837489689939694
"Ulk1",350.020751317947,-0.0688404881221539,0.21066395697208,-0.326778672116548,0.74383529181023,0.837489689939694
"LOC102551435",67.216183436431,0.10891339860448,0.333491559959318,0.326585172403663,0.743981659830293,0.837536483907202
"Elovl4",25.8770400792382,0.24222883722461,0.741893924034322,0.326500634898587,0.744045609016089,0.837536483907202
"Trpc4ap",367.304215804627,0.060116732728996,0.184225646193137,0.326321193445408,0.744181355029644,0.837594299809984
"Zbtb11",119.060739825818,0.0853849235896389,0.261999162843125,0.32589769624861,0.744501758757652,0.837859915808215
"Nemf",196.041660489036,0.0756369675938472,0.232358526898296,0.325518364243003,0.744788786136349,0.838087914203537
"Nfkb1",194.576102595766,0.0823647317567218,0.253379090955297,0.325065227151096,0.745131705721608,0.838288545357085
"Tceanc2",67.9264301103062,-0.0866821389963447,0.266665399048615,-0.325059566428946,0.74513598989377,0.838288545357085
"Ddx3x",1104.85284880168,-0.0381964454558139,0.117632005275224,-0.32471133486542,0.745399555162305,0.838490025446627
